"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
1.185053,.753111018622034,-.188295805845933,1.36913758361349,1.04254898015469,1.14731515421341,1.14731515421341
1.18646,.752188148486017,-.188348115474137,1.36913649217437,1.04263752922887,1.14733433745759,1.14733433745759
1.187871,.751270141003864,-.188397140832184,1.36913540681492,1.04272640049895,1.1473535972384,1.1473535972384
1.189285,.750356965456934,-.188442931688846,1.36913432761221,1.04281559551073,1.14737293381811,1.14737293381811
1.190703,.749448591300118,-.188485537032713,1.36913325464406,1.04290511581913,1.14739234745999,1.14739234745999
1.192124,.748544988162368,-.18852500508611,1.36913218798909,1.0429949629883,1.14741183842835,1.14741183842835
1.193548,.747646125847159,-.188561383318724,1.36913112772666,1.04308513859161,1.14743140698847,1.14743140698847
1.194976,.746751974332889,-.188594718460944,1.36913007393695,1.04317564421181,1.1474510534067,1.1474510534067
1.196407,.74586250377322,-.188625056516937,1.36912902670091,1.04326648144102,1.14747077795037,1.14747077795037
1.197841,.744977684497355,-.188652442777445,1.36912798610031,1.04335765188082,1.14749058088785,1.14749058088785
1.199279,.744097487010265,-.188676921832322,1.36912695221772,1.04344915714232,1.14751046248856,1.14751046248856
1.200721,.743221881992856,-.188698537582823,1.36912592513655,1.04354099884623,1.14753042302293,1.14753042302293
1.202166,.742350840302089,-.188717333253632,1.369124904941,1.04363317862291,1.14755046276245,1.14755046276245
1.203614,.741484332971049,-.188733351404654,1.36912389171615,1.04372569811246,1.14757058197964,1.14757058197964
1.205066,.740622331208963,-.18874663394257,1.3691228855479,1.04381855896478,1.14759078094808,1.14759078094808
1.206521,.739764806401175,-.18875722213215,1.36912188652301,1.04391176283963,1.1476110599424,1.1476110599424
1.20798,.738911730109079,-.188765156607356,1.3691208947291,1.0440053114067,1.14763141923828,1.14763141923828
1.209443,.738063074070002,-.188770477382204,1.36911991025468,1.04409920634569,1.14765185911247,1.14765185911247
1.210909,.737218810197056,-.188773223861427,1.36911893318912,1.04419344934638,1.14767237984279,1.14767237984279
1.212378,.736378910578943,-.188773434850915,1.3691179636227,1.04428804210871,1.14769298170813,1.14769298170813
1.213851,.735543347479728,-.188771148567955,1.36911700164658,1.04438298634282,1.14771366498845,1.14771366498845
1.215328,.734712093338574,-.188766402651268,1.36911604735286,1.04447828376914,1.14773442996479,1.14773442996479
1.216808,.73388512076944,-.188759234170845,1.36911510083453,1.04457393611848,1.14775527691929,1.14775527691929
1.218292,.733062402560755,-.188749679637599,1.36911416218551,1.04466994513208,1.14777620613516,1.14777620613516
1.21978,.732243911675049,-.188737775012819,1.3691132315007,1.0447663125617,1.14779721789671,1.14779721789671
1.221271,.731429621248562,-.188723555717448,1.3691123088759,1.04486304016967,1.14781831248936,1.14781831248936
1.222766,.73061950459082,-.18870705664118,1.3691113944079,1.044960129729,1.14783949019961,1.14783949019961
1.224264,.729813535184187,-.188688312151373,1.36911048819445,1.04505758302344,1.14786075131511,1.14786075131511
1.225766,.729011686683389,-.188667356101805,1.36910959033427,1.04515540184753,1.14788209612457,1.14788209612457
1.227272,.72821393291501,-.188644221841249,1.36910870092709,1.04525358800673,1.14790352491785,1.14790352491785
1.228782,.727420247876969,-.188618942221891,1.36910782007363,1.04535214331746,1.14792503798593,1.14792503798593
1.230295,.726630605737968,-.188591549607583,1.36910694787563,1.04545106960717,1.14794663562092,1.14794663562092
1.231812,.725844980836928,-.188562075881947,1.36910608443584,1.04555036871447,1.14796831811603,1.14796831811603
1.233333,.72506334768239,-.188530552456312,1.36910522985805,1.04565004248915,1.14799008576566,1.14799008576566
